Name,RA,Dec,D,z,Origin,F60,F70,F100,F160,F250,F350,F500,sigma60,sigma70,sigma100,sigma160,sigma250,sigma350,sigma500,L_IR
HATLAS J120857.6+014803,182.240191,1.801041,9.771451216438357e+24,0.0771,H-ATLAS,,,356.36165117920746,384.2544795559198,131.237,50.808,17.302999999999997,,,41.3164,47.9445,7.328,8.283999999999999,9.048,
HATLAS J122256.0-001913,185.733708,-0.32041,1.9940857774246574e+25,0.15734,H-ATLAS,,,218.9526511792075,261.72947955591974,124.435,56.674,25.34,,,41.3164,47.9445,7.267,8.139000000000001,8.703000000000001,
HATLAS J120118.3+003224,180.326341,0.540174,9.757510105753425e+24,0.07699,H-ATLAS,,,314.4266511792075,292.54547955591977,128.786,42.619,9.423,,,41.3164,47.9445,7.382,8.049000000000001,8.687000000000001,
HATLAS J113949.1-023342,174.954876,-2.561736,2.7498207139178083e+25,0.21697,H-ATLAS,,,264.09665117920747,262.78447955591975,137.8,59.337,25.794999999999998,,,45.448,50.3418,7.622999999999999,8.219000000000001,8.905,
HATLAS J120015.2+003752,180.063358,0.631119,3.107980521150685e+25,0.24523,H-ATLAS,,,297.3236511792075,249.69947955591977,126.46199999999999,55.396,21.426000000000002,,,41.3164,47.9445,7.22,8.120000000000001,8.645999999999999,
HATLAS J113453.6-005232,173.723458,-0.875589,1.7003085540821917e+25,0.13416,H-ATLAS,,,65.26305117920748,169.15147955591976,128.953,103.82900000000001,69.529,,,41.3164,47.9445,7.211,8.194999999999999,8.965,
HATLAS J113737.9-000410,174.408085,-0.069487,1.7145031395068495e+25,0.13528,H-ATLAS,,,518.4246511792074,335.79347955591976,128.64999999999998,57.165,16.573,,,41.3164,47.9445,7.2589999999999995,8.238999999999999,8.72,
HATLAS J115003.9+011838,177.516432,1.310569,3.6720885544109588e+25,0.28974,H-ATLAS,,,197.1426511792075,295.5834795559198,136.025,54.899,6.668,,,41.3164,47.9445,7.405,8.107,8.666,
HATLAS J115818.4-011338,179.576996,-1.227274,4.207553942082192e+25,0.33199,H-ATLAS,,,169.7396511792075,158.51247955591975,114.327,46.444,26.316,,,29.2151,33.9019,6.995,7.782,8.088,
HATLAS J115249.3-002246,178.205456,-0.379474,1.581682375890411e+25,0.1248,H-ATLAS,,,136.78265117920748,233.57147955591975,130.26299999999998,59.168,36.355,,,41.3164,47.9445,7.328,8.267,8.566,
HATLAS J115256.8+012930,178.236887,1.491805,9.722023642191782e+24,0.07671,H-ATLAS,,,92.74145533357263,231.58148499423265,128.165,67.44,40.395,,,55.6103,59.499900000000004,7.28,8.292000000000002,9.204,
HATLAS J120708.0-005254,181.783616,-0.881791,1.0405138065753425e+25,0.0821,H-ATLAS,,,202.33765117920748,211.36247955591978,127.751,47.218,14.16,,,33.7347,39.1465,7.235,8.111,8.802000000000001,
HATLAS J114433.5-001800,176.139776,-0.300009,5.193443942246575e+25,0.40978,H-ATLAS,,,119.36565117920749,77.57967955591977,100.85,40.049,4.188,,,41.3164,47.9445,6.562,7.420000000000001,7.746,
HATLAS J113426.6+004518,173.610853,0.755127,6.334333745753424e+24,0.04998,H-ATLAS,,,307.11899999999997,262.381,131.648,60.972,38.857,,,41.3164,47.9445,7.475,8.177999999999999,8.745,
HATLAS J120518.1-021432,181.325794,-2.242234,1.2538128000547945e+25,0.09893,H-ATLAS,,,174.04465117920748,211.85447955591977,125.947,44.019999999999996,19.149,,,41.3164,47.9445,7.367,8.074,8.695,
HATLAS J122245.1+004924,185.687995,0.823526,1.433019441041096e+25,0.11307,H-ATLAS,,,169.5956511792075,163.37547955591978,124.042,44.297999999999995,15.767,,,41.3164,47.9445,7.325,8.148000000000001,8.644,
HATLAS J113815.6-012641,174.565082,-1.444792,5.101432611726027e+25,0.40252,H-ATLAS,,,141.5616511792075,128.75547955591975,132.736,64.079,33.082,,,41.3164,47.9445,7.465,8.058,8.704,
HATLAS J121849.4-011413,184.705997,-1.237126,8.857674779726027e+24,0.06989,H-ATLAS,,,303.7891770650297,260.45011059674624,130.01399999999998,59.765,22.793999999999997,,,74.1698,73.4602,7.392,8.083,8.732999999999999,
HATLAS J122121.4+003715,185.339492,0.620876,9.967894139726027e+24,0.07865,H-ATLAS,,,102.84765117920749,195.24647955591976,128.71699999999998,68.941,19.293000000000003,,,41.3164,47.9445,7.427,8.004000000000001,8.835,
HATLAS J114045.2-003621,175.188479,-0.60604,9.341811532602739e+24,0.07371,H-ATLAS,,,188.48065117920748,226.23047955591977,129.446,50.955,14.987,,,41.3164,47.9445,7.5009999999999994,8.165000000000001,8.84,
