HRS,D,T2,T_up2,T_low2,log_M2,log_M_up2,log_M_low2,beta,beta_up,beta_low,T,T_up,T_low,log_M,log_M_up,log_M_low
HRS-147,17,17.9,0.5,0.5,6.92,0.04,0.04,1.6,0.2,0.2,21,1.6,1.5,6.76,0.08,0.07
HRS-148,17,,,,,,,1.2,0.2,0.2,24.1,1.9,1.7,6.82,0.07,0.07
HRS-149,17,,,,,,,2.2,0.1,0.1,19.9,0.5,0.5,7.47,0.03,0.02
HRS-151,17,21.1,0.7,0.7,6.68,0.05,0.05,1.7,0.3,0.3,23.3,3.1,2.5,6.6,0.11,0.11
HRS-152,17,24.4,0.4,0.4,6.54,0.02,0.02,2.3,0.2,0.2,22.4,1.4,1.3,6.61,0.05,0.05
HRS-153,17,20.6,0.5,0.5,6.72,0.04,0.04,1.9,0.3,0.2,21.2,1.8,1.6,6.69,0.08,0.08
HRS-154,23,17.9,0.8,0.9,7.13,0.08,0.07,1,0.4,0.4,24.5,4.4,3.4,6.84,0.14,0.15
HRS-156,17,23.9,0.4,0.4,7.05,0.02,0.02,2.2,0.1,0.1,22.6,1,0.9,7.1,0.04,0.04
HRS-158,23,17.7,0.8,0.9,6.86,0.08,0.08,0.9,0.5,0.4,24.4,4.9,3.6,6.56,0.15,0.16
HRS-159,23,25.2,0.5,0.5,6.75,0.03,0.03,2.2,0.3,0.3,23.6,2,1.8,6.8,0.06,0.06
HRS-160,23,19.8,0.5,0.5,7.24,0.03,0.03,2.1,0.2,0.2,19.4,1.4,1.3,7.26,0.07,0.07
HRS-162,17,25.1,0.8,0.7,6.35,0.06,0.06,2.7,0.4,0.4,20.9,2.3,2,6.48,0.09,0.09
HRS-163,17,21.3,0.4,0.4,7.19,0.03,0.04,2.1,0.3,0.2,20.8,1.7,1.5,7.21,0.08,0.08
HRS-165,23,20.4,1,1,6.44,0.07,0.07,1.6,0.4,0.4,23.5,3.8,3.1,6.32,0.13,0.13
HRS-167,23,19.6,0.4,0.4,6.76,0.04,0.04,2.7,0.3,0.3,16.5,1.2,1.1,6.93,0.08,0.08
